class,crop,condition,healthy,count
Orange___Haunglongbing_(Citrus_greening),Orange,Haunglongbing (Citrus greening),False,3859
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato,Tomato Yellow Leaf Curl Virus,False,3754
Soybean___healthy,Soybean,healthy,True,3568
Peach___Bacterial_spot,Peach,Bacterial spot,False,1612
Tomato___Bacterial_spot,Tomato,Bacterial spot,False,1493
Tomato___Late_blight,Tomato,Late blight,False,1341
Squash___Powdery_mildew,Squash,Powdery mildew,False,1289
Tomato___Septoria_leaf_spot,Tomato,Septoria leaf spot,False,1244
Tomato___Spider_mites Two-spotted_spider_mite,Tomato,Spider mites Two-spotted spider mite,False,1178
Apple___healthy,Apple,healthy,True,1156
Tomato___healthy,Tomato,healthy,True,1118
Blueberry___healthy,Blueberry,healthy,True,1056
"Pepper,_bell___healthy",Pepper bell,healthy,True,1039
Tomato___Target_Spot,Tomato,Target Spot,False,987
Grape___Esca_(Black_Measles),Grape,Esca (Black Measles),False,973
Corn_(maize)___Common_rust_,Corn (maize),Common rust,False,839
Grape___Black_rot,Grape,Black rot,False,831
Corn_(maize)___healthy,Corn (maize),healthy,True,818
Strawberry___Leaf_scorch,Strawberry,Leaf scorch,False,781
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape,Leaf blight (Isariopsis Leaf Spot),False,758
Cherry_(including_sour)___Powdery_mildew,Cherry (including sour),Powdery mildew,False,741
Tomato___Early_blight,Tomato,Early blight,False,705
Potato___Early_blight,Potato,Early blight,False,705
Potato___Late_blight,Potato,Late blight,False,705
"Pepper,_bell___Bacterial_spot",Pepper bell,Bacterial spot,False,702
Corn_(maize)___Northern_Leaf_Blight,Corn (maize),Northern Leaf Blight,False,694
Tomato___Leaf_Mold,Tomato,Leaf Mold,False,671
Cherry_(including_sour)___healthy,Cherry (including sour),healthy,True,602
Apple___Apple_scab,Apple,Apple scab,False,446
Apple___Black_rot,Apple,Black rot,False,439
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn (maize),Cercospora leaf spot Gray leaf spot,False,364
Strawberry___healthy,Strawberry,healthy,True,324
Grape___healthy,Grape,healthy,True,301
Tomato___Tomato_mosaic_virus,Tomato,Tomato mosaic virus,False,266
Raspberry___healthy,Raspberry,healthy,True,264
Peach___healthy,Peach,healthy,True,256
Apple___Cedar_apple_rust,Apple,Cedar apple rust,False,197
Potato___healthy,Potato,healthy,True,111
